                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.0098,                 0.5407,                 1.4506,                0.97188,                0.93651,                0.97646,                0.68685,                 1.1842,                0.47866,                 1.6911,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.0221,                0.55685,                 1.4549,                0.97629,                0.93651,                0.97762,                0.68735,                 1.1877,                0.48019,                 1.6864,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.0071,                0.54853,                 1.4441,                0.96765,                0.94603,                0.97804,                 0.6904,                  1.178,                0.47975,                 1.6762,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.0015,                0.54683,                 1.4391,                0.97016,                0.94603,                 0.9763,                0.68292,                 1.2068,                0.48761,                  1.694,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.0059,                0.54753,                 1.4428,                0.96154,                0.95243,                0.97673,                0.67602,                 1.2087,                0.48591,                  1.691,                0.00035,                0.00035,                0.00035
                    128,                0.99875,                0.53642,                 1.4346,                0.97963,                0.93651,                 0.9748,                0.68372,                 1.1812,                0.47851,                 1.6768,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.0003,                0.53545,                 1.4338,                0.98005,                0.93561,                0.97594,                0.67602,                 1.1953,                0.48127,                 1.6857,              0.0003236,              0.0003236,              0.0003236
                    130,                0.99603,                0.54444,                 1.4298,                0.94917,                 0.9619,                 0.9751,                0.68619,                 1.1786,                0.47329,                 1.6744,              0.0003104,              0.0003104,              0.0003104
                    131,                0.98914,                0.53194,                 1.4286,                0.95582,                0.96145,                0.97801,                0.68063,                 1.1959,                0.46534,                 1.6828,              0.0002972,              0.0002972,              0.0002972
                    132,                0.98652,                0.53788,                 1.4249,                0.95881,                0.96077,                0.98004,                 0.6814,                 1.1856,                0.46379,                 1.6716,               0.000284,               0.000284,               0.000284
                    133,                0.99566,                0.53339,                 1.4275,                0.97364,                0.93968,                 0.9773,                0.68841,                 1.1817,                0.47122,                 1.6747,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.0075,                0.53956,                 1.4383,                0.94953,                0.95559,                 0.9786,                0.68728,                 1.1768,                0.47034,                 1.6709,              0.0002576,              0.0002576,              0.0002576
                    135,                0.97782,                0.52998,                 1.4179,                0.97688,                0.93914,                0.98097,                0.68518,                  1.181,                0.46611,                 1.6742,              0.0002444,              0.0002444,              0.0002444
                    136,                 0.9741,                0.53197,                 1.4174,                0.97292,                0.93968,                0.98004,                 0.6879,                  1.186,                0.46821,                 1.6829,              0.0002312,              0.0002312,              0.0002312
                    137,                0.98582,                0.53386,                 1.4227,                0.95973,                0.95238,                0.98178,                0.69206,                 1.1757,                0.46391,                 1.6709,               0.000218,               0.000218,               0.000218
                    138,                0.98083,                 0.5326,                 1.4154,                0.97317,                0.94603,                0.98184,                0.68961,                 1.1781,                0.46809,                 1.6815,              0.0002048,              0.0002048,              0.0002048
                    139,                0.99734,                 0.5354,                 1.4312,                0.97063,                0.94416,                0.97985,                 0.6914,                 1.1799,                0.46632,                 1.6777,              0.0001916,              0.0001916,              0.0001916
                    140,                0.97017,                0.52977,                 1.4135,                0.97378,                0.94336,                0.97837,                0.69087,                 1.1812,                0.46911,                 1.6781,              0.0001784,              0.0001784,              0.0001784
                    141,                  0.884,                0.39353,                 1.3275,                0.96777,                0.95317,                0.97797,                0.68812,                 1.1882,                0.47184,                 1.6734,              0.0001652,              0.0001652,              0.0001652
                    142,                 0.8581,                0.37671,                 1.3084,                0.96637,                0.95238,                0.98014,                0.68666,                 1.1845,                0.46713,                 1.6737,               0.000152,               0.000152,               0.000152
                    143,                0.85927,                0.37683,                 1.3054,                0.96414,                0.95238,                0.97945,                0.68489,                  1.194,                0.46823,                 1.6964,              0.0001388,              0.0001388,              0.0001388
                    144,                0.85417,                0.37665,                 1.3011,                0.96319,                0.95238,                0.97912,                0.68613,                 1.1845,                0.46592,                 1.6881,              0.0001256,              0.0001256,              0.0001256
                    145,                0.85117,                 0.3791,                 1.3064,                0.96453,                0.94949,                0.98002,                0.68687,                 1.1902,                0.46431,                 1.6911,              0.0001124,              0.0001124,              0.0001124
                    146,                0.84811,                0.37187,                 1.2987,                0.96471,                0.95454,                0.98001,                0.68704,                 1.1894,                0.46501,                 1.6914,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                0.85202,                0.37535,                 1.3007,                0.96767,                0.95026,                0.97956,                 0.6857,                 1.1908,                0.46553,                 1.6944,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                0.83941,                0.37093,                 1.2934,                0.96471,                 0.9546,                0.97967,                0.68208,                 1.1885,                0.47022,                 1.6956,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                0.82966,                0.36756,                  1.283,                0.96467,                0.95354,                 0.9802,                0.68246,                 1.1867,                0.46838,                 1.6949,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                0.83293,                0.36532,                 1.2907,                0.96465,                0.95292,                0.97844,                0.68332,                  1.189,                0.47062,                 1.6946,               4.64e-05,               4.64e-05,               4.64e-05
